45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;B
44774905;SHELL ADVANCE 4T AX7 10W-40 SM/MA2 CX 12x1L;C
550059865;SHELL ADVANCE 4T AX7 10W-40 SN/MA2 6X1;C
550053587;SHELL ADVANCE 4T ULTRA 15W50 12X1;C
550059866;SHELL ADVANCE AX7 15W50 SN/MA2 6X1;C
550052774;SHELL ALEXIA 40 1x55GAL;C
550052775;SHELL ALEXIA 70 1x55GAL;C
550054547;SHELL ARGINA S2 40 1x55GAL;C
550047079;SHELL ARGINA S4 40 1x55GAL;C
550022409;SHELL CAPRINUS XR 40 1X209L;C
550014136;SHELL CATENEX T 121 1x209L;C
550026301;SHELL CORENA S2 P 100 1x5GAL;C
550027265;SHELL CORENA S4 P 100 1x20L;C
550026300;SHELL CORENA S4 R 68 1x5GAL;B
550047075;SHELL GADINIA S3 40 1x55GAL;C
550052219;SHELL GADUS S2 OG 40 1X190KG;C
550027631;SHELL GADUS S2 V220 2 AIWJ 10x0.4KG;C
550050706;SHELL GADUS S2 V220AC 2 1x18KG;C
550050708;SHELL GADUS S2 V220AD 2 1x18KG;C
550027680;SHELL GADUS S3 V460D 2 1X180KG;C
550025731;SHELL HEAT TRANSFER S2  1x209L;C
550045838;SHELL HELIX HX5 15W40 3X4L;C
43512905;SHELL HELIX HX5 15W-40 SL 12x1L;A
550045901;SHELL HELIX HX5 15W-40 SL 6x1L;C
43509809;SHELL HELIX HX5 15W-40 SL TB 209L;C
550053426;SHELL HELIX HX5 20W-50 SN 1x209L;C
550045853;SHELL HELIX HX5 20W-50 SN 3x4L;A
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;A
550052038;SHELL HELIX HX7 10W-30 SN PLUS 6x1L;A
550045905;SHELL HELIX HX7 10W-40 A1W9 6x1L;B
550057747;SHELL HELIX HX7 SP 10W30 1X209L;C
550057749;SHELL HELIX HX7 SP 10W-30 6x1L;B
550057767;SHELL HELIX HX7 SP 10W-40 6x1L;B
41051905;SHELL HELIX HX8 PRO AG 0W-20 CX 12x1L;B
