codigo;lote;descripcion;almacen;stock_actual;fecha_inicio
550026300;VER-CUA-035PBL22;SHELL CORENA S4 R 68 1x5GAL;000001;168;2022-02-01
550027265;VER-CUA-035PBL22;SHELL CORENA S4 P 100 1x20L;000001;168;2022-02-01
550047075;VER-CUA-035PBL22;SHELL GADINIA S3 40 1x55GAL;000001;64;2022-02-01
550047075;VER-CUA-035PBL22;SHELL GADINIA S3 40 1x55GAL;000001;64;2022-02-01
550047075;VER-CUA-035PBL22;SHELL GADINIA S3 40 1x55GAL;000001;40;2022-02-01
550045885;NAR-TRI-380PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-08-25
550045885;NAR-TRI-380PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-08-25
550045885;NAR-TRI-380PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-08-25
550045885;NAR-TRI-379PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-08-29
550045885;NAR-TRI-379PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-08-29
550045885;NAR-TRI-378PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-08-25
500000214;NAR-TRI-372PBL22;SHELL CATENEX T 121 BULK;000001;22502;2022-08-25
500000214;NAR-TRI-371PBL22;SHELL CATENEX T 121 BULK;000001;22406;2022-08-25
500000214;NAR-TRI-370PBL22;SHELL CATENEX T 121 BULK;000001;22460;2022-08-25
500000214;NAR-TRI-369PBL22;SHELL CATENEX T 121 BULK;000001;22024;2022-08-25
550045885;NAR-TRI-366PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;2975;2022-08-11
550045885;NAR-TRI-345PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-07-27
550045885;NAR-TRI-345PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-07-27
550045885;NAR-TRI-345PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-07-27
550045885;NAR-TRI-345PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;3325;2022-07-27
45312905;NAR-TRI-321PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-07-28
550045885;NAR-TRI-310PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;1300;2022-07-15
