codigo;descripcion;almacen;lote;stock;fecha
500000214;SHELL CATENEX T 121 BULK;000001;NAR-TRI-372PBL22;22502;2022-08-25
500000214;SHELL CATENEX T 121 BULK;000001;NAR-TRI-371PBL22;22406;2022-08-25
500000214;SHELL CATENEX T 121 BULK;000001;NAR-TRI-370PBL22;22460;2022-08-25
500000214;SHELL CATENEX T 121 BULK;000001;NAR-TRI-369PBL22;22024;2022-08-25
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;000001;NAR-TRI-366PBL22;2975;2022-08-11
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;000001;NAR-TRI-345PBL22;13300;2022-07-27
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;NAR-TRI-321PBL22;1760;2022-07-28
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;000001;NAR-TRI-310PBL22;4525;2022-07-15
40926905;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000001;NAR-TRI-257PBL22;1406;2022-06-10
550043380;SHELL TURBO S4 GX 32 1x55GAL;000001;NAR-CUA-477PBL21;48;2021-11-03
550049041;SHELL HELIX HX8 PRO AG 0W-20 LATA 3x4L;000001;NAR-CIR-096PBL22;2141;2020-01-01
43509809;SHELL HELIX HX5 15W-40 SL TB 209L;000001;NAR-CIR-079PBL20;163;2020-01-01
550027265;SHELL CORENA S4 P 100 1x20L;000001;MOR-TRI-577PBL22;25;2022-12-29
550026697;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;MOR-TRI-451PBL22;840;2022-10-20
550026699;SHELL HYDRAULIC S1 M 68 1x55GAL;000001;MOR-TRI-451PBL22;327;2022-10-20
550026699;SHELL HYDRAULIC S1 M 68 1x55GAL;000004;MOR-TRI-451PBL22;9;2022-10-20
6560500055;SHELL TURBO T OIL 68 1x55GAL;000001;MOR-TRI-451PBL22;48;2022-10-20
550026300;SHELL CORENA S4 R 68 1x5GAL;000001;MOR-TRI-450PBL22;210;2022-10-19
550026697;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;MOR-TRI-450PBL22;420;2022-10-19
550026900;SHELL SPIRAX S4 CX 30 1x55GAL;000001;MOR-TRI-450PBL22;21;2022-10-19
550026907;SHELL SPIRAX S4 CX 50 1x55GAL;000001;MOR-TRI-450PBL22;32;2022-10-19
550027265;SHELL CORENA S4 P 100 1x20L;000001;MOR-TRI-450PBL22;210;2022-10-19
550057742;SHELL HELIX ULTRA 5W-40 6x1L;000001;MOR-TRI-450PBL22;1750;2022-10-19
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;MOR-TRI-432PBL22;1760;2022-10-11
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;MOR-TRI-431PBL22;1760;2022-10-11
550026697;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;MOR-TRI-422PBL22;1159;2022-10-14
550050052;SHELL SPIRAX S6 ATF X 6x1L;000001;MOR-TRI-422PBL22;1569;2022-10-14
550025731;SHELL HEAT TRANSFER S2 1x209L;000001;MOR-TRI-421PBL22;48;2022-10-15
550045853;SHELL HELIX HX5 20W-50 SN 3x4L;000001;MOR-TRI-421PBL22;362;2022-10-11
550045853;SHELL HELIX HX5 20W-50 SN 3x4L;000001;MOR-TRI-421PBL22;1680;2022-10-15
6560200055;SHELL TURBO OIL T 32 1x55GAL;000001;MOR-TRI-421PBL22;58;2022-10-15
6560300055;SHELL TURBO OIL T 46 1x55GAL;000001;MOR-TRI-421PBL22;18;2022-10-15
550045853;SHELL HELIX HX5 20W-50 SN 3x4L;000001;MOR-TRI-420PBL22;1680;2022-10-14
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;000001;MOR-TRI-400PBL22;13300;2022-09-21
550026300;SHELL CORENA S4 R 68 1x5GAL;000001;MAR-CUA-557PBL21;227;2021-12-29
550027265;SHELL CORENA S4 P 100 1x20L;000001;MAR-CUA-557PBL21;65;2021-12-29
550045438;SHELL RIMULA R5 E 10W-40 3x4L;000001;MAR-CUA-438PBL21;44;2021-12-14
45657855;SHELL OMALA S2 G 100 1x20L;000001;MAR-CIR-488PBL20;99;2020-01-01
45372809;SHELL SPIRAX S2 A 85W-140 TB 209L EXPO;000004;MALO577PBL22;27;2022-12-29
550029925;SHELL SPIRAX S2 A 80W-90 1x55GAL;000004;MALO577PBL22;37;2022-12-29
550045838;SHELL HELIX HX5 15W-40 SN 3x4L;000003;MALO577PBL22;8;2022-12-29
550053587;SHELL ADVANCE 4T ULTRA 15W-50 12x1L;000004;MALO577PBL22;14;2022-12-29
550057747;SHELL HELIX HX7 SP 10W-30 1x209L;000004;MALO577PBL22;1;2022-12-29
550027265;SHELL CORENA S4 P 100 1x20L;000004;MALO557PBL21;9;2021-12-29
550050706;SHELL GADUS S2 V220AC 2 1x18KG;000004;MALO492PBL22;1;2022-11-24
45657855;SHELL OMALA S2 G 100 1x20L;000004;MALO488PBL20;4;2020-01-01
550026699;SHELL HYDRAULIC S1 M 68 1x55GAL;000004;MALO450PBL22;36;2022-10-19
550026900;SHELL SPIRAX S4 CX 30 1x55GAL;000004;MALO450PBL22;4;2022-10-19
6560200055;SHELL TURBO OIL T 32 1x55GAL;000004;MALO421PBL22;6;2022-10-15
550047079;SHELL ARGINA S4 40 1x55GAL;000004;MALO395PBL21;3;2021-11-12
550057742;SHELL HELIX ULTRA 5W-40 6x1L;000004;MALO298PBL22;29;2022-06-28
550043380;SHELL TURBO S4 GX 32 1x55GAL;000004;MALO260PBL21;1;2021-07-13
40926905;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000004;MALO257PBL22;5;2022-06-10
6560500055;SHELL TURBO T OIL 68 1x55GAL;000004;MALO252PBL22;3;2022-06-14
550054282;SHELL RIMULA R4 X 15W-40 1x5GAL;000004;MALO146PBL22;1;2022-04-29
43592855;SHELL SPIRAX S2 A 90 1x20L;000004;MALO125PBL22;2;2022-04-27
45372855;SHELL SPIRAX S2 A 85W-140 1x20L;000004;MALO125PBL22;1;2022-04-27
550049041;SHELL HELIX HX8 PRO AG 0W-20 LATA 3x4L;000004;MALO096PBL22;32;2020-01-01
43509809;SHELL HELIX HX5 15W-40 SL TB 209L;000004;MALO079PBL20;85;2020-01-01
550026891;SHELL SPIRAX S4 TXM 1x5GAL;000004;MALO058PBL23;1;2023-03-08
550045415;SHELL TELLUS S2 MX 68 1x5GAL;000004;MALO058PBL23;1;2023-03-08
550056833;SHELL SPIRAX S5 CVT X 12x1L;000004;MALO058PBL23;3;2023-03-08
550026902;SHELL SPIRAX S4 TXM 1x55GAL;000004;MALO052PBL23;1;2023-03-01
550047075;SHELL GADINIA S3 40 1x55GAL;000004;MALO035PBL22;12;2022-02-01
44243855;SHELL RIMULA R4 X 15W-40 CI-4 1x20L;000004;MALO016PBL23;37;2023-01-30
550026697;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;BLA-TRI-528PBL22;1680;2022-11-23
550045853;SHELL HELIX HX5 20W-50 SN 3x4L;000001;BLA-TRI-528PBL22;3360;2022-11-23
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;000001;BLA-TRI-528PBL22;1686;2022-11-23
550050102;SHELL HELIX HX8 PROFESSIONAL AG 5W-30 6x1L;000001;BLA-TRI-528PBL22;1544;2022-11-23
40926905;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000001;BLA-TRI-516PBL22;1760;2022-11-10
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;BLA-TRI-505PBL22;1760;2022-11-03
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;BLA-TRI-504PBL22;1760;2022-11-03
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;BLA-TRI-503PBL22;1760;2022-11-03
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;BLA-TRI-502PBL22;1760;2022-11-03
