"id";"id_categoria";"id_brand";"id_umbral";"codigo";"referencia";"descripcion";"cantidad";"tipo"
"61";"1";"1";"4";"550045905";"550045905";"SHELL HELIX HX7 10W-40 A1W9 6x1L";"0";""
"62";"1";"2";"11";"550047075";"550047075";"SHELL GADINIA S3 40 1x55GAL";"0";""
"63";"1";"2";"11";"550047079";"550047079";"SHELL ARGINA S4 40 1x55GAL";"0";""
"64";"1";"2";"10";"550047182";"550047182";"SHELL OMALA S2 G 150 1X209L";"0";""
"65";"1";"2";"10";"550047184";"550047184";"SHELL OMALA S2 G 460 1x209L";"0";""
"66";"1";"5";"16";"550047744";"550047744";"SHELL TELLUS S2 VX 68 1x975L";"0";""
"67";"1";"1";"3";"550049041";"550049041";"SHELL HELIX HX8 PRO AG 0W-20 LATA 3x4L";"0";""
"68";"1";"1";"4";"550049771";"550049771";"SHELL NAUTILUS PREMIUM OUTB 2T 6x1L";"0";""
"69";"1";"1";"4";"550049811";"550049811";"SHELL SPIRAX S2 A 80W-90 6x1L";"0";""
"70";"1";"1";"4";"550049812";"550049812";"SHELL SPIRAX S2 A 85W-140 6x1L";"0";""
"71";"1";"1";"4";"550049814";"550049814";"SHELL SPIRAX S3 ATF MD3 6x1L";"0";""
"72";"1";"1";"4";"550050052";"550050052";"SHELL SPIRAX S6 ATF X 6x1L";"0";""
"73";"1";"1";"4";"550050102";"550050102";"SHELL HELIX HX8 PROFESSIONAL AG 5W-30 6x1L";"0";""
"74";"2";"3";"19";"550050706";"550050706";"SHELL GADUS S2 V220AC 2 1x18KG";"0";""
"75";"2";"3";"19";"550050708";"550050708";"SHELL GADUS S2 V220AD 2 1x18KG";"0";""
"76";"1";"1";"4";"550052035";"550052035";"SHELL HELIX ULTRA 5W-40 SN CX 6x1L";"0";""
"77";"1";"1";"4";"550052038";"550052038";"SHELL HELIX HX7 10W-30 SN PLUS 6x1L";"0";""
"78";"2";"2";"12";"550052219";"550052219";"SHELL GADUS S2 OG 40 1x190KG";"0";""
"79";"1";"2";"11";"550052774";"550052774";"SHELL ALEXIA 40 1x55GAL";"0";""
"80";"1";"2";"11";"550052775";"550052775";"SHELL ALEXIA 70 1x55GAL";"0";""
"81";"1";"2";"10";"550053426";"550053426";"SHELL HELIX HX5 20W-50 SN 1x209L";"0";""
"82";"1";"1";"2";"550053587";"550053587";"SHELL ADVANCE 4T ULTRA 15W-50 12x1L";"0";""
"83";"1";"3";"18";"550054282";"550054282";"SHELL RIMULA R4 X 15W-40 18";"0";""
"84";"1";"2";"11";"550054547";"550054547";"SHELL ARGINA S2 40 1x55GAL";"0";""
"85";"1";"1";"2";"550056833";"550056833";"SHELL SPIRAX S5 CVT X 12x1L";"0";""
"86";"1";"1";"4";"550057742";"550057742";"SHELL HELIX ULTRA 5W-40 6x1L";"0";""
"87";"1";"2";"10";"550057747";"550057747";"SHELL HELIX HX7 SP 10W-30 1x209L";"0";""
"88";"1";"1";"4";"550057749";"550057749";"SHELL HELIX HX7 SP 10W-30 6x1L";"0";""
"89";"1";"1";"4";"550057767";"550057767";"SHELL HELIX HX7 SP 10W-40 6x1L";"0";""
"90";"1";"1";"4";"550059865";"550059865";"SHELL ADVANCE 4T AX7 10W-40 SN/MA2 6x1L";"0";""
"91";"1";"1";"4";"550059866";"550059866";"SHELL ADVANCE AX7 15W-50 SN/MA2 6x1L";"0";""
"92";"1";"2";"11";"6560200055";"6560200055";"SHELL TURBO OIL T 32 1x55GAL";"0";""
"93";"1";"2";"11";"6560300055";"6560300055";"SHELL TURBO OIL T 46 1x55GAL";"0";""
"94";"1";"2";"11";"6560500055";"6560500055";"SHELL TURBO T OIL 68 1x55GAL";"0";""
"95";"6";"6";"1";"AOT185R14";"AOT185R14";"AOTELI 185/65R14 P307";"0";""
"96";"6";"6";"1";"DK1856514";"DK1856514";"DOUBLE KING 185/65R14 DK298";"0";""
"97";"6";"6";"1";"DK1956015";"DK1956015";"DOUBLE KING 195/60R15 DK558";"0";""
"98";"4";"6";"1";"QA-1010";"QA-1010";"TOYOTA TERIOS BE-GO";"0";""
"99";"4";"6";"1";"QA-10190";"QA-10190";"TOYOTA COROLLA XEI / GLI 2008-2012";"0";""
"100";"4";"6";"1";"QA-10242";"QA-10242";"FORD EXPLORER 2011-2013";"0";""
"101";"4";"6";"1";"QA-10262";"QA-10262";"FORD EXPEDITION 2009/ F-150 / F-250 / F-350 2007-2012";"0";""
"102";"4";"6";"1";"QA-10755";"QA-10755";"JEEP GRAND CHEROKEE 2011-2014, MITSUBISHI L200 DIESEL";"0";""
"103";"4";"6";"1";"QA-10835";"QA-10835";"TOYOTA 4RUNNER 2014-2018";"0";""
"104";"4";"6";"1";"QA-1111";"QA-1111";"CHERY ORINOCO 4L 1.8L (AUTOMÁTICO)";"0";""
"105";"4";"6";"1";"QA-1211";"QA-1211";"CHERY ARAUCA A1 4L 1.3L";"0";""
"106";"4";"6";"1";"QA-2222";"QA-2222";"FORD ECOSPORT 1.6L /FIESTA POWER 1.6L, MOVE, MAX";"0";""
"107";"5";"6";"1";"QA-46357";"QA-46357";"NKR (SIN TURBO), NPR 3.9, NPR 66L CABIN";"0";""
"108";"5";"6";"1";"QA-46932";"QA-46932";"NPR (CON TURBO), MITSUBISHI CANTER (CON TURBO)";"0";""
"109";"4";"6";"1";"QA-5700";"QA-5700";"NISSAN FRONTIER 2005 - 2014";"0";""
"110";"4";"6";"1";"QA-6558";"QA-6558";"MAZDA BT-50";"0";""
"111";"4";"6";"1";"QA-8000";"QA-8000";"HYUNDAI TUCSON (2005-2009) / KIA SPORTAGE (2005-2009)";"0";""
"112";"4";"6";"1";"QA-8004";"QA-8004";"FORD EXPEDITION / F-150 / F-350";"0";""
"113";"4";"6";"1";"QA-8208";"QA-8208";"MITSUBISHI LANCER TOURING 2003-2015/ MIRAGE";"0";""
"114";"4";"6";"1";"QA-9074";"QA-9074";"RENAULT LOGAN / KANGOO /SYMBOL";"0";""
"115";"4";"6";"1";"QA-91485";"QA-91485";"CHEVROLET SPARK";"0";""
"116";"4";"6";"1";"QA-9430";"QA-9430";"CHEVROLET LUV-DMAX (GASOLINA)";"0";""
"117";"4";"6";"1";"QA-9683";"QA-9683";"TOYOTA 4RUNNER 2008/ FORTUNER / HILUX KAVAK / FJ CRUISER";"0";""
